institute , institutes
see , sees
help , helps
holding , holdings
place , places
cinema , cinemas
goal , goals
take , takes
create , created
farmer , farmers
fire , fired
acquire , acquired
plan , plans
cruiser , cruisers
earring , earrings
shut , shuts
institution , institutions
tour , tours
novel , novels
host , hosts
appearance , appearances
term , terms
success , successes
member , members
overall , overalls
actor , actors
keep , keeps
continue , continues
george , georges
broker , brokers
vocal , vocals
tend , tends
speculate , speculated
sometime , sometimes
ask , asks
plan , planned
assis , assisted
meet , met
collapse , collapsed
victim , victims
juror , jurors
contain , contains
judge , judged
word , words
festival , festivals
stop , stopped
parkway , parkways
plan , planted
miss , misses
winner , winners
subdue , subdued
love , loved
section , sections
explosion , explosions
dennis , denniss
christian , christians
teach , taught
bleed , bled
fight , fought
hospital , hospitals
ran , ranked
point , points
saving , savings
lead , leads
scholar , scholars
offer , offers
hour , hours
l , lies
torpedo , torpedoes
sink , sunk
title , titles
san , sand
slide , slides
summer , summers
she , shed
restore , restored
live , lived
cost , costs
eye , eyes
lie , lay
wood , woods
lay , laid
run , runs
player , players
refer , referred
grow , grew
centre , centred
landowner , landowners
feel , feels
lesson , lessons
use , used
painter , painters
instance , instances
highway , highways
ride , rode
serve , serves
charge , charged
port , ports
issue , issues
recording , recordings
hall , halls
spend , spent
pressure , pressures
local , locals
find , finds
summon , summons
butcher , butchers
mi , mines
science , sciences
action , actions
voice , voices
loan , loans
line , lines
buy , bought
swear , sworn
sentence , sentenced
seem , seems
bite , bit
separate , separated
interest , interests
gun , guns
ship , ships
team , teams
garden , gardens
material , materials
patient , patients
archive , archived
win , wind
musician , musicians
third , thirds
battlecruiser , battlecruisers
time , times
bicycle , bicycles
farmhouse , farmhouses
tsarnaev , tsarnaevs
bombing , bombings
represent , represents
oyster , oysters
round , rounds
catch , caught
achievement , achievements
broadside , broadsides
jam , james
n , need
sit , sat
way , ways
driver , drivers
interchange , interchanges
vein , veins
step , stepped
discipline , disciplines
spectator , spectators
statement , statements
release , releases
follow , follows
camp , camps
provide , provides
war , ward
argue , argued
tosa , tosas
moment , moments
start , starts
leg , legs
see , saw
feel , felt
sit , sits
share , shared
tale , tales
disguise , disguised
sell , sells
blue , blues
begin , began
newspaper , newspapers
choose , chose
video , videos
richard , richards
keep , kept
premise , premises
use , uses
format , formats
escape , escapes
group , groups
show , showed
room , rooms
build , built
speak , spoke
stand , stood
head , heads
proportion , proportions
jew , jews
game , games
death , deaths
zombie , zombies
live , lives
plan , planes
kilogram , kilograms
face , faces
segment , segments
direction , directions
jam , jammed
lie , lied
title , titled
detail , details
lose , lost
like , likened
revoke , revoked
australian , australians
shot , shots
sweep , swept
addition , additions
lend , lent
corp , corps
remix , remixes
office , offices
star , stars
opening , openings
degree , degrees
begin , begun
union , unions
kettle , kettles
muslim , muslims
appeal , appeals
judge , judges
format , formatted
as , ashes
path , paths
explosive , explosives
meet , meets
print , prints
zone , zones
damage , damaged
want , wants
los , loss
convince , convinced
return , returns
form , forms
interpreter , interpreters
continue , continued
become , became
project , projects
chief , chiefs
website , websites
dispatch , dispatches
drink , drank
art , arts
mechanism , mechanisms
blow , blew
land , lands
investment , investments
horse , horses
begin , begins
thought , thoughts
good , goods
end , ends
mile , miles
ton , tons
relation , relations
empire , empires
million , millions
spot , spotted
woo , wood
interspace , interspaces
place , placed
create , creates
angel , angeles
devote , devoted
lead , led
movie , movies
feeling , feelings
one , ones
fall , fell
angle , angled
club , clubs
notice , noticed
note , noted
fisher , fisheries
server , servers
wing , wings
steal , steals
france , frances
as , asked
to , tomes
carlo , carlos
hangar , hangars
argue , argues
war , wars
nu , nudes
hotel , hotels
make , makes
watch , watches
ride , rides
tube , tubes
provide , provided
release , released
outlet , outlets
wear , worn
official , officials
jackson , jacksons
angel , angels
episode , episodes
fall , falls
tie , tied
song , songs
boiler , boilers
pay , paid
stretch , stretches
write , wrote
market , markets
physician , physicians
process , processes
relative , relatives
run , ran
director , directors
scene , scenes
tell , told
displace , displaced
nagato , nagatos
influence , influenced
kilometre , kilometres
plot , plots
client , clients
king , kings
band , bands
discover , discovers
street , streets
sound , sounds
orchestra , orchestras
album , albums
vampire , vampires
car , cars
mapping , mappings
establish , establishes
god , gods
secure , secured
rise , rose
month , months
lease , leases
rescue , rescued
see , seen
fight , fights
refer , refers
for , formed
magazine , magazines
take , taken
illustrator , illustrators
speak , spoken
model , models
sentence , sentences
speed , sped
pursue , pursued
exhibition , exhibitions
br , breed
honour , honours
drive , drove
hold , holds
session , sessions
painting , paintings
station , stations
charge , charges
shaft , shafts
case , cases
serve , served
barrier , barriers
flame , flames
founder , founders
portrait , portraits
service , services
say , says
shoot , shot
force , forces
close , closed
promote , promoted
artist , artists
win , won
